,Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
89,60.0,2,True,True,False,West Ferdows Boulevard,2000000000.0,66666.67
90,76.0,2,True,True,True,North Program Organization,2600000000.0,86666.67
91,148.0,3,True,True,True,Daryan No,5990000000.0,199666.67
92,75.0,2,True,True,True,North Program Organization,2300000000.0,76666.67
93,40.0,1,True,True,False,Pirouzi,1300000000.0,43333.33
94,65.0,2,True,True,True,Southern Program Organization,2270000000.0,75666.67
95,140.0,3,True,True,True,Rudhen,4000000000.0,133333.33
96,110.0,2,True,True,True,West Pars,4000000000.0,133333.33
97,70.0,2,True,False,True,Afsarieh,1650000000.0,55000.0
98,128.0,3,True,True,True,Marzdaran,6700000000.0,223333.33
99,94.0,2,True,True,True,Parand,580000000.0,19333.33
100,67.0,1,True,True,True,Punak,2300000000.0,76666.67
101,75.0,1,True,True,True,Shahrake Qods,650000000.0,21666.67
102,130.0,2,True,True,True,Dorous,16900000000.0,563333.33
103,40.0,0,False,False,False,Shahrake Qods,248000000.0,8266.67
104,97.0,2,True,True,True,Pardis,510000000.0,17000.0
105,110.0,2,True,True,True,Shahran,3850000000.0,128333.33
106,150.0,3,True,True,True,Sadeghieh,6000000000.0,200000.0
107,75.0,2,False,False,False,Chahardangeh,780000000.0,26000.0
108,137.0,3,True,True,True,ShahrAra,7200000000.0,240000.0
109,85.0,2,True,True,True,Parand,410000000.0,13666.67
110,68.0,2,False,True,False,Pakdasht,430000000.0,14333.33
111,78.0,2,False,True,False,Baqershahr,800000000.0,26666.67
112,85.0,2,True,True,True,Parand,545000000.0,18166.67
113,100.0,2,True,True,False,Parand,1280000000.0,42666.67
114,71.0,2,True,True,True,Punak,2800000000.0,93333.33
115,140.0,3,True,True,True,Gisha,11200000000.0,373333.33
116,136.0,3,True,True,False,Parand,750000000.0,25000.0
117,48.0,1,False,False,False,Jeyhoon,850000000.0,28333.33
118,100.0,2,True,True,True,Lavizan,3300000000.0,110000.0
119,82.0,2,True,False,True,Shams Abad,3280000000.0,109333.33
120,120.0,3,True,True,True,Fatemi,4800000000.0,160000.0
121,139.0,3,True,True,True,Gisha,7300000000.0,243333.33
122,110.0,3,True,True,True,Keshavarz Boulevard,3950000000.0,131666.67
123,78.0,2,False,False,True,Parand,370000000.0,12333.33
124,79.0,2,False,False,False,Baghestan,750000000.0,25000.0
125,66.0,2,True,True,True,Salsabil,1725000000.0,57500.0
126,78.0,2,True,True,True,Kahrizak,780000000.0,26000.0
127,85.0,2,True,True,True,Shahryar,1419000000.0,47300.0
128,100.0,2,True,True,False,Qarchak,1200000000.0,40000.0
129,80.0,2,True,True,True,Northren Jamalzadeh,3600000000.0,120000.0
130,44.0,1,True,True,False,Salsabil,1050000000.0,35000.0
131,120.0,2,True,True,False,Shahryar,1200000000.0,40000.0
132,50.0,1,False,True,False,Shahrake Qods,340000000.0,11333.33
133,121.0,3,True,True,False,Ostad Moein,3300000000.0,110000.0
134,80.0,2,True,True,True,Azarbaijan,2800000000.0,93333.33
135,70.0,2,False,True,True,Bahar,1200000000.0,40000.0
136,160.0,1,False,False,False,Qarchak,3600000.0,120.0
137,40.0,0,False,False,False,Pakdasht,165000000.0,5500.0
138,88.0,2,True,True,True,Railway,2860000000.0,95333.33
139,141.0,3,True,True,True,Persian Gulf Martyrs Lake,3810000000.0,127000.0
140,140.0,3,True,True,True,Persian Gulf Martyrs Lake,1790000000.0,59666.67
141,120.0,2,True,True,True,Persian Gulf Martyrs Lake,1530000000.0,51000.0
142,66.0,2,False,True,False,Beryanak,1000000000.0,33333.33
143,70.0,2,True,True,True,Punak,3500000000.0,116666.67
144,75.0,2,True,False,True,Heshmatieh,3000000000.0,100000.0
145,70.0,2,False,True,True,Elm-o-Sanat,1800000000.0,60000.0
146,150.0,3,True,True,True,Saadat Abad,20000000000.0,666666.67
147,95.0,2,True,True,True,Golestan,950000000.0,31666.67
148,127.0,2,True,True,True,Southern Janatabad,6000000000.0,200000.0
149,123.0,3,True,True,True,Shahr-e-Ziba,3700000000.0,123333.33
150,63.0,2,True,True,True,Southern Janatabad,2000000000.0,66666.67
151,90.0,2,True,True,True,Punak,3050000000.0,101666.67
152,105.0,2,True,True,True,Pardis,605000000.0,20166.67
153,180.0,3,True,True,True,Pasdaran,9900000000.0,330000.0
154,120.0,3,True,False,True,Pirouzi,3700000000.0,123333.33
155,65.0,2,True,True,True,Feiz Garden,2500000000.0,83333.33
156,158.0,3,True,True,True,Farmanieh,10480000000.0,349333.33
157,144.0,3,True,True,True,Chardivari,7632000000.0,254400.0
158,144.0,3,True,True,True,Punak,7632000000.0,254400.0
159,130.0,3,True,True,True,Gheitarieh,12300000000.0,410000.0
160,245.0,3,True,True,True,Farmanieh,26950000000.0,898333.33
161,190.0,3,True,True,True,Kamranieh,24300000000.0,810000.0
162,63.0,2,True,True,True,Central Janatabad,3000000000.0,100000.0
163,75.0,2,True,True,True,East Ferdows Boulevard,2100000000.0,70000.0
164,88.0,2,True,False,True,Gholhak,4700000000.0,156666.67
165,108.0,2,True,True,True,Pasdaran,9180000000.0,306000.0
166,117.0,2,True,True,True,Islamshahr,1579500000.0,52650.0
167,200.0,3,True,True,True,Pasdaran,12000000000.0,400000.0
168,65.0,1,True,True,False,Pirouzi,1750000000.0,58333.33
169,90.0,2,True,True,True,Central Janatabad,3780000000.0,126000.0
170,125.0,2,True,True,True,Heravi,8100000000.0,270000.0
171,140.0,3,True,True,True,Heravi,9100000000.0,303333.33
172,71.0,2,False,True,True,Hashemi,1550000000.0,51666.67
173,71.0,2,False,True,True,Jeyhoon,1640000000.0,54666.67
174,236.0,4,True,True,True,Gheitarieh,20000000000.0,666666.67
175,67.0,2,True,True,True,Central Janatabad,2750000000.0,91666.67
176,60.0,1,True,True,True,Punak,1750000000.0,58333.33
177,220.0,3,True,True,True,Heravi,15400000000.0,513333.33
178,44.0,1,True,True,False,Andisheh,350000000.0,11666.67
179,68.0,1,True,True,True,Heravi,4115000000.0,137166.67
180,100.0,2,True,True,True,Pasdaran,8000000000.0,266666.67
181,86.0,2,True,True,True,Pardis,580000000.0,19333.33
182,84.0,2,True,True,True,Pardis,560000000.0,18666.67
183,94.0,2,True,True,True,Heravi,4800000000.0,160000.0
184,55.0,1,False,True,False,West Ferdows Boulevard,1550000000.0,51666.67
185,113.0,2,True,True,True,Saadat Abad,7500000000.0,250000.0
186,71.0,2,True,True,True,Islamshahr,630000000.0,21000.0
187,70.0,2,True,True,False,Dehkade Olampic,2000000000.0,66666.67
188,200.0,3,True,True,True,Golestan,2400000000.0,80000.0
189,106.0,2,True,True,True,Golestan,1100000000.0,36666.67
190,320.0,4,True,True,True,Saadat Abad,24000000000.0,800000.0
191,114.0,2,True,True,True,West Pars,3820000000.0,127333.33
192,100.0,2,True,True,True,Punak,6000000000.0,200000.0
193,122.0,2,True,True,True,Saadat Abad,5800000000.0,193333.33
194,200.0,2,True,True,False,Damavand,3500000000.0,116666.67
195,154.0,3,True,True,True,Saadat Abad,12300000000.0,410000.0
196,210.0,3,True,True,True,Pasdaran,15750000000.0,525000.0
197,200.0,3,True,True,True,East Ferdows Boulevard,11000000000.0,366666.67
198,65.0,1,True,True,True,Southern Janatabad,3000000000.0,100000.0
199,124.0,3,True,True,True,Pirouzi,3968000000.0,132266.67
200,83.0,2,True,True,True,Republic,1909000000.0,63633.33
201,270.0,4,True,True,True,Farmanieh,37800000000.0,1260000.0
202,104.0,2,True,True,True,East Ferdows Boulevard,5700000000.0,190000.0
203,150.0,3,True,True,True,Zaferanieh,10490000000.0,349666.67
204,103.0,3,True,True,True,West Ferdows Boulevard,3200000000.0,106666.67
205,48.0,1,True,True,True,West Ferdows Boulevard,1920000000.0,64000.0
206,165.0,3,True,True,True,Gheitarieh,12300000000.0,410000.0
207,135.0,2,True,True,False,Gheitarieh,7400000000.0,246666.67
208,86.0,2,True,True,True,Saadat Abad,6200000000.0,206666.67
209,75.0,2,True,True,True,East Ferdows Boulevard,2350000000.0,78333.33
210,58.0,1,True,True,True,East Ferdows Boulevard,1850000000.0,61666.67
211,125.0,2,True,True,True,Shahrake Gharb,21500000000.0,716666.67
212,82.0,2,True,True,True,Qazvin Imamzadeh Hassan,1886000000.0,62866.67
213,58.0,2,True,True,True,Shahran,2200000000.0,73333.33
214,101.0,2,True,True,True,Beryanak,2323000000.0,77433.33
215,90.0,2,True,True,True,Niavaran,6800000000.0,226666.67
216,180.0,3,True,True,True,Farmanieh,20700000000.0,690000.0
217,132.0,3,True,True,True,Gheitarieh,6250000000.0,208333.33
218,81.0,2,True,True,True,Valiasr,1863000000.0,62100.0
219,153.0,3,True,True,True,Pasdaran,13000000000.0,433333.33
220,166.0,3,True,True,True,Qalandari,12500000000.0,416666.67
221,200.0,3,True,True,True,Pasdaran,17000000000.0,566666.67
222,113.0,2,True,True,True,Pasdaran,8500000000.0,283333.33
223,100.0,2,True,True,True,Valiasr,2300000000.0,76666.67
224,80.0,2,True,True,True,Central Janatabad,3350000000.0,111666.67
225,76.0,2,True,True,True,Jeyhoon,2000000000.0,66666.67
226,128.0,3,True,True,True,Punak,5700000000.0,190000.0
227,210.0,3,True,True,True,Shahrake Gharb,27000000000.0,900000.0
228,140.0,2,True,True,True,Shahrake Gharb,12600000000.0,420000.0
229,74.0,2,True,True,True,Amir Bahador,1702000000.0,56733.33
230,75.0,1,True,True,True,Central Janatabad,3000000000.0,100000.0
231,120.0,2,True,True,True,Pasdaran,7500000000.0,250000.0
232,120.0,2,True,True,True,Pasdaran,7500000000.0,250000.0
233,85.0,2,True,True,True,Ekhtiarieh,5000000000.0,166666.67
234,105.0,2,True,True,True,Pardis,700000000.0,23333.33
235,175.0,3,True,True,True,Farmanieh,15600000000.0,520000.0
236,170.0,3,True,True,True,Farmanieh,15350000000.0,511666.67
237,58.0,1,True,True,True,Ekbatan,2810000000.0,93666.67
238,75.0,2,True,True,True,Parand,395000000.0,13166.67
239,160.0,3,True,True,True,Gheitarieh,15100000000.0,503333.33
240,62.0,1,True,True,True,Shahran,1850000000.0,61666.67
241,93.0,2,True,True,True,Rudhen,1450000000.0,48333.33
242,75.0,2,True,True,True,Islamshahr,715000000.0,23833.33
243,86.0,2,True,True,False,Islamshahr,1200000000.0,40000.0
244,120.0,2,True,True,True,Southern Program Organization,4260000000.0,142000.0
245,95.0,2,True,True,True,Andisheh,1500000000.0,50000.0
246,70.0,2,True,True,False,West Ferdows Boulevard,2120000000.0,70666.67
247,75.0,2,True,True,False,East Ferdows Boulevard,2000000000.0,66666.67
248,81.0,2,True,False,True,Pardis,590000000.0,19666.67
249,65.0,1,True,True,False,West Ferdows Boulevard,1930000000.0,64333.33
250,75.0,2,True,True,True,East Ferdows Boulevard,2730000000.0,91000.0
251,106.0,2,True,True,False,East Ferdows Boulevard,3150000000.0,105000.0
252,115.0,2,True,True,True,East Ferdows Boulevard,4600000000.0,153333.33
253,100.0,2,True,True,True,Shahr-e-Ziba,3000000000.0,100000.0
254,118.0,2,True,True,True,East Ferdows Boulevard,4500000000.0,150000.0
255,116.0,2,True,True,True,East Ferdows Boulevard,5100000000.0,170000.0
256,76.0,2,True,True,True,Shahr-e-Ziba,2200000000.0,73333.33
257,74.0,2,True,True,False,East Ferdows Boulevard,2300000000.0,76666.67
258,96.0,2,True,True,True,Saadat Abad,4500000000.0,150000.0
259,87.0,2,True,True,True,Pardis,625000000.0,20833.33
260,43.0,1,True,True,False,Northern Janatabad,1620000000.0,54000.0
261,155.0,3,True,True,True,Niavaran,17050000000.0,568333.33
262,53.0,1,True,True,True,East Ferdows Boulevard,1920000000.0,64000.0
263,160.0,3,True,True,True,Farmanieh,17600000000.0,586666.67
264,78.0,2,True,True,True,Shahr-e-Ziba,2250000000.0,75000.0
265,230.0,3,True,True,True,Niavaran,25300000000.0,843333.33
266,55.0,1,True,True,True,West Ferdows Boulevard,1850000000.0,61666.67
267,120.0,2,True,True,False,Saadat Abad,11700000000.0,390000.0
268,78.0,2,True,True,True,Southern Janatabad,3600000000.0,120000.0
269,95.0,2,True,True,True,Southern Janatabad,4400000000.0,146666.67
270,170.0,3,True,True,True,Gheitarieh,15400000000.0,513333.33
271,175.0,3,True,True,True,Shahrake Gharb,22750000000.0,758333.33
272,115.0,3,True,True,True,Punak,4500000000.0,150000.0
273,113.0,2,True,True,True,Punak,4300000000.0,143333.33
274,85.0,2,True,True,True,Punak,3380000000.0,112666.67
275,140.0,3,True,True,True,Saadat Abad,10000000000.0,333333.33
276,90.0,2,True,True,True,Saadat Abad,6500000000.0,216666.67
277,63.0,1,True,False,False,Punak,2200000000.0,73333.33
278,75.0,2,True,True,True,Central Janatabad,3220000000.0,107333.33
279,130.0,3,True,True,True,Punak,6240000000.0,208000.0
280,91.0,2,True,True,True,Punak,3350000000.0,111666.67
281,121.0,3,True,True,True,Persian Gulf Martyrs Lake,3650000000.0,121666.67
282,140.0,3,True,True,True,Saadat Abad,15500000000.0,516666.67
283,126.0,2,True,True,True,East Ferdows Boulevard,5500000000.0,183333.33
284,450.0,2,True,True,False,Absard,4200000000.0,140000.0
285,500.0,2,True,True,False,Absard,3900000000.0,130000.0
286,110.0,1,True,True,True,Pasdaran,6600000000.0,220000.0
287,145.0,3,True,True,True,Haft Tir,4700000000.0,156666.67
288,81.0,2,True,True,True,Shahrake Qods,810000000.0,27000.0
289,64.0,2,True,True,True,Shahr-e-Ziba,2200000000.0,73333.33
290,112.0,2,True,True,True,Shahr-e-Ziba,3680000000.0,122666.67
291,192.0,3,True,True,True,Marzdaran,12670000000.0,422333.33
292,164.0,3,True,True,True,Marzdaran,10000000000.0,333333.33
293,135.0,3,True,True,True,Pasdaran,8100000000.0,270000.0
294,170.0,3,True,True,True,Mahallati,9200000000.0,306666.67
295,130.0,3,True,True,True,Mahallati,5200000000.0,173333.33
296,84.0,2,True,True,True,Shahran,3400000000.0,113333.33
297,82.0,2,True,True,True,Shahran,3550000000.0,118333.33
298,265.0,3,True,True,True,Farmanieh,20000000000.0,666666.67
299,60.0,1,True,True,True,Southern Janatabad,1950000000.0,65000.0
300,145.0,3,True,True,True,Pasdaran,15500000000.0,516666.67
301,65.0,1,False,True,True,Southern Janatabad,2000000000.0,66666.67
302,60.0,1,True,True,False,Southern Janatabad,2280000000.0,76000.0
303,63.0,2,True,True,True,Southern Janatabad,2000000000.0,66666.67
304,70.0,2,True,True,True,Southern Janatabad,1950000000.0,65000.0
305,92.0,2,True,True,True,Feiz Garden,3900000000.0,130000.0
306,98.0,2,True,True,True,Pasdaran,7800000000.0,260000.0
307,62.0,1,True,True,True,Southern Janatabad,2280000000.0,76000.0
308,65.0,1,True,True,True,Punak,2900000000.0,96666.67
309,90.0,2,True,True,True,Ozgol,5000000000.0,166666.67
310,59.0,2,True,True,True,Southern Janatabad,1900000000.0,63333.33
311,63.0,2,True,True,True,Southern Janatabad,2000000000.0,66666.67
312,60.0,2,True,True,True,Southern Janatabad,2200000000.0,73333.33
313,70.0,2,True,True,True,Southern Janatabad,2500000000.0,83333.33
314,60.0,1,True,True,True,Southern Janatabad,2200000000.0,73333.33
315,165.0,3,True,True,True,Pasdaran,10500000000.0,350000.0
316,135.0,2,True,True,True,Zaferanieh,17500000000.0,583333.33
317,65.0,1,True,True,True,Southern Janatabad,2000000000.0,66666.67
318,60.0,1,True,True,True,Southern Janatabad,2250000000.0,75000.0
319,60.0,1,True,True,True,Southern Janatabad,2250000000.0,75000.0
320,86.0,2,True,True,True,Southern Janatabad,3600000000.0,120000.0
321,109.0,2,True,True,True,Heravi,6000000000.0,200000.0
322,98.0,2,True,True,False,Narmak,2842000000.0,94733.33
323,80.0,2,True,True,True,Central Janatabad,3120000000.0,104000.0
324,143.0,3,True,True,True,Gheitarieh,8860000000.0,295333.33
325,95.0,2,True,True,True,Saadat Abad,4550000000.0,151666.67
326,86.0,2,True,True,True,Punak,3700000000.0,123333.33
327,160.0,3,True,True,True,Gheitarieh,10000000000.0,333333.33
328,200.0,3,True,True,True,Pasdaran,16580000000.0,552666.67
329,74.0,1,True,True,True,Punak,3250000000.0,108333.33
330,350.0,3,True,True,True,Zaferanieh,52500000000.0,1750000.0
331,87.0,2,True,True,True,Northern Janatabad,3550000000.0,118333.33
332,82.0,2,True,True,True,West Ferdows Boulevard,3450000000.0,115000.0
333,55.0,1,True,True,True,Shahr-e-Ziba,2490000000.0,83000.0
334,148.0,3,True,True,True,Ekhtiarieh,8400000000.0,280000.0
335,55.0,1,True,False,True,Shahr-e-Ziba,2020000000.0,67333.33
336,100.0,2,True,True,False,Southern Janatabad,3800000000.0,126666.67
337,55.0,1,False,True,False,West Ferdows Boulevard,1550000000.0,51666.67
338,130.0,3,True,True,True,Central Janatabad,5300000000.0,176666.67
339,335.0,4,True,True,True,Saadat Abad,33500000000.0,1116666.67
340,320.0,4,True,True,True,Saadat Abad,40000000000.0,1333333.33
341,192.0,3,True,True,True,Saadat Abad,19500000000.0,650000.0
342,100.0,2,True,True,True,Gheitarieh,8000000000.0,266666.67
343,148.0,3,True,True,True,Saadat Abad,14800000000.0,493333.33
344,145.0,2,True,True,True,Shahrake Gharb,14700000000.0,490000.0
345,192.0,4,True,True,True,Saadat Abad,22000000000.0,733333.33
346,235.0,3,True,True,True,North Program Organization,16450000000.0,548333.33
347,225.0,3,True,True,True,Heravi,15750000000.0,525000.0
348,221.0,4,True,True,True,Saadat Abad,25000000000.0,833333.33
349,312.0,4,True,True,True,Farmanieh,45000000000.0,1500000.0
350,188.0,3,True,True,True,Ozgol,17672000000.0,589066.67
351,170.0,2,True,True,True,Farmanieh,12400000000.0,413333.33
352,198.0,3,True,True,True,Farmanieh,27720000000.0,924000.0
353,80.0,2,True,True,True,North Program Organization,3100000000.0,103333.33
354,170.0,3,True,True,True,Niavaran,18700000000.0,623333.33
355,110.0,2,True,True,True,Tajrish,6600000000.0,220000.0
356,650.0,2,True,True,False,Absard,5200000000.0,173333.33
357,200.0,3,True,True,True,Saadat Abad,12000000000.0,400000.0
358,101.0,3,True,True,True,Ekhtiarieh,6500000000.0,216666.67
359,104.0,2,True,True,True,Feiz Garden,3850000000.0,128333.33
360,70.0,2,True,True,True,Northern Janatabad,3200000000.0,106666.67
361,76.0,2,True,True,False,Shahr-e-Ziba,2570000000.0,85666.67
362,110.0,2,True,True,True,Feiz Garden,4300000000.0,143333.33
363,160.0,2,True,True,True,Pasdaran,16200000000.0,540000.0
364,179.0,3,True,True,True,Dorous,13800000000.0,460000.0
365,256.0,3,True,True,True,Dorous,18500000000.0,616666.67
366,90.0,2,True,True,True,Feiz Garden,3850000000.0,128333.33
367,77.0,2,True,True,True,Shahr-e-Ziba,2570000000.0,85666.67
368,96.0,2,True,True,True,Pasdaran,5600000000.0,186666.67
369,75.0,1,True,True,True,Central Janatabad,3250000000.0,108333.33
370,79.0,2,True,True,True,Abazar,3000000000.0,100000.0
371,67.0,1,True,True,True,Saadat Abad,3400000000.0,113333.33
372,125.0,2,True,True,True,Shahr-e-Ziba,6400000000.0,213333.33
373,75.0,2,True,True,False,Shahr-e-Ziba,1890000000.0,63000.0
374,75.0,2,True,True,False,Shahr-e-Ziba,1890000000.0,63000.0
375,91.0,2,True,True,True,Saadat Abad,5400000000.0,180000.0
376,105.0,2,True,True,True,Parand,1417500000.0,47250.0
377,66.0,2,True,True,True,Ostad Moein,1585000000.0,52833.33
378,86.0,2,True,True,True,Southern Janatabad,3270000000.0,109000.0
379,72.0,2,True,True,False,Northern Janatabad,2380000000.0,79333.33
380,148.0,2,True,False,True,Koohsar,4500000000.0,150000.0
381,84.0,2,True,True,True,Saadat Abad,4600000000.0,153333.33
382,128.0,2,True,True,True,Niavaran,12800000000.0,426666.67
383,65.0,1,True,True,True,West Ferdows Boulevard,3900000000.0,130000.0
384,140.0,3,True,True,True,Pasdaran,11800000000.0,393333.33
385,115.0,2,True,True,True,Ekhtiarieh,7400000000.0,246666.67
386,105.0,2,True,True,True,Saadat Abad,5700000000.0,190000.0
387,87.0,2,True,True,True,Pardis,650000000.0,21666.67
388,75.0,2,True,True,False,Shahr-e-Ziba,1890000000.0,63000.0
389,60.0,1,True,True,True,Persian Gulf Martyrs Lake,875000000.0,29166.67
390,68.0,1,True,True,True,Southern Program Organization,2630000000.0,87666.67
391,49.0,1,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33
392,103.0,2,True,True,True,Hekmat,9270000000.0,309000.0
393,55.0,1,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33
394,140.0,3,True,True,True,Punak,7700000000.0,256666.67
395,257.0,4,True,True,True,Persian Gulf Martyrs Lake,12850000000.0,428333.33
396,82.0,2,True,True,True,Punak,4018000000.0,133933.33
397,167.0,3,True,True,True,Punak,10688000000.0,356266.67
398,53.0,1,False,True,False,West Ferdows Boulevard,1640000000.0,54666.67
399,51.0,1,False,True,False,West Ferdows Boulevard,1550000000.0,51666.67
400,54.0,1,True,True,False,West Ferdows Boulevard,2130000000.0,71000.0
401,82.0,2,True,True,True,Sattarkhan,4100000000.0,136666.67
402,75.0,2,True,True,True,West Ferdows Boulevard,2800000000.0,93333.33
403,98.0,2,True,True,True,West Ferdows Boulevard,4520000000.0,150666.67
404,75.0,2,True,True,False,Shahr-e-Ziba,1890000000.0,63000.0
405,70.0,1,True,True,True,Niavaran,5600000000.0,186666.67
406,75.0,2,True,True,False,Shahr-e-Ziba,1890000000.0,63000.0
407,64.0,1,True,True,True,Ekbatan,3700000000.0,123333.33
408,85.0,2,True,True,True,Jeyhoon,2100000000.0,70000.0
409,48.0,1,False,True,False,Parastar,980000000.0,32666.67
410,75.0,2,True,True,False,Shahr-e-Ziba,1890000000.0,63000.0
411,246.0,3,True,True,True,Ekhtiarieh,22500000000.0,750000.0
412,168.0,3,True,True,True,Gheitarieh,14000000000.0,466666.67
413,280.0,4,True,True,True,Saadat Abad,38500000000.0,1283333.33
